                     NAME                 LANGUAGE                  VARIANT
                Afrikaans                       af                     none
         Afrikaans+Andrea                       af                   Andrea
          Afrikaans+Annie                       af                    Annie
        Afrikaans+Antonio                       af                  Antonio
         Afrikaans+Auntie                       af                   Auntie
        Afrikaans+Belinda                       af                  Belinda
          Afrikaans+Boris                       af                    Boris
          Afrikaans+Denis                       af                    Denis
          Afrikaans+Diogo                       af                    Diogo
             Afrikaans+Ed                       af                       Ed
           Afrikaans+Gene                       af                     Gene
          Afrikaans+Gene2                       af                    Gene2
       Afrikaans+Henrique                       af                 Henrique
           Afrikaans+Hugo                       af                     Hugo
           Afrikaans+Iven                       af                     Iven
          Afrikaans+Iven2                       af                    Iven2
          Afrikaans+Iven3                       af                    Iven3
          Afrikaans+Jacky                       af                    Jacky
           Afrikaans+John                       af                     John
     Afrikaans+Kaukovalta                       af               Kaukovalta
          Afrikaans+Mario                       af                    Mario
            Afrikaans+Max                       af                      Max
        Afrikaans+Michael                       af                  Michael
         Afrikaans+Michel                       af                   Michel
         Afrikaans+Miguel                       af                   Miguel
     Afrikaans+Mr_Serious                       af               Mr_Serious
         Afrikaans+Nguyen                       af                   Nguyen
          Afrikaans+Pablo                       af                    Pablo
         Afrikaans+Pablo2                       af                   Pablo2
           Afrikaans+Paul                       af                     Paul
          Afrikaans+Pedro                       af                    Pedro
         Afrikaans+Quincy                       af                   Quincy
    Afrikaans+RicishayMax                       af              RicishayMax
   Afrikaans+RicishayMax2                       af             RicishayMax2
   Afrikaans+RicishayMax3                       af             RicishayMax3
            Afrikaans+Rob                       af                      Rob
         Afrikaans+Robert                       af                   Robert
      Afrikaans+Robosoft3                       af                Robosoft3
      Afrikaans+Robosoft4                       af                Robosoft4
      Afrikaans+Robosoft5                       af                Robosoft5
      Afrikaans+Robosoft6                       af                Robosoft6
      Afrikaans+Robosoft7                       af                Robosoft7
      Afrikaans+Robosoft8                       af                Robosoft8
          Afrikaans+Steph                       af                    Steph
         Afrikaans+Steph2                       af                   Steph2
         Afrikaans+Steph3                       af                   Steph3
          Afrikaans+Storm                       af                    Storm
         Afrikaans+Tweaky                       af                   Tweaky
            Afrikaans+Zac                       af                      Zac
          Afrikaans+anika                       af                    anika
     Afrikaans+anikaRobot                       af               anikaRobot
      Afrikaans+fast_test                       af                fast_test
        Afrikaans+female2                       af                  female2
        Afrikaans+female3                       af                  female3
        Afrikaans+female4                       af                  female4
        Afrikaans+female5                       af                  female5
 Afrikaans+female_whisper                       af           female_whisper
        Afrikaans+grandpa                       af                  grandpa
          Afrikaans+klatt                       af                    klatt
         Afrikaans+klatt2                       af                   klatt2
         Afrikaans+klatt3                       af                   klatt3
         Afrikaans+klatt4                       af                   klatt4
          Afrikaans+male2                       af                    male2
          Afrikaans+male3                       af                    male3
          Afrikaans+male4                       af                    male4
          Afrikaans+male5                       af                    male5
          Afrikaans+male6                       af                    male6
          Afrikaans+male7                       af                    male7
        Afrikaans+norbert                       af                  norbert
         Afrikaans+sandro                       af                   sandro
         Afrikaans+shelby                       af                   shelby
         Afrikaans+travis                       af                   travis
         Afrikaans+victor                       af                   victor
        Afrikaans+whisper                       af                  whisper
          Afrikaans+male8                       af                    male8
        Afrikaans+female1                       af                  female1
          Afrikaans+croak                       af                    croak
          Afrikaans+male1                       af                    male1
        Afrikaans+grandma                       af                  grandma
                  Amharic                       am                     none
           Amharic+Andrea                       am                   Andrea
            Amharic+Annie                       am                    Annie
          Amharic+Antonio                       am                  Antonio
           Amharic+Auntie                       am                   Auntie
          Amharic+Belinda                       am                  Belinda
            Amharic+Boris                       am                    Boris
            Amharic+Denis                       am                    Denis
            Amharic+Diogo                       am                    Diogo
               Amharic+Ed                       am                       Ed
             Amharic+Gene                       am                     Gene
            Amharic+Gene2                       am                    Gene2
         Amharic+Henrique                       am                 Henrique
             Amharic+Hugo                       am                     Hugo
             Amharic+Iven                       am                     Iven
            Amharic+Iven2                       am                    Iven2
            Amharic+Iven3                       am                    Iven3
            Amharic+Jacky                       am                    Jacky
             Amharic+John                       am                     John
       Amharic+Kaukovalta                       am               Kaukovalta
            Amharic+Mario                       am                    Mario
              Amharic+Max                       am                      Max
          Amharic+Michael                       am                  Michael
           Amharic+Michel                       am                   Michel
           Amharic+Miguel                       am                   Miguel
       Amharic+Mr_Serious                       am               Mr_Serious
           Amharic+Nguyen                       am                   Nguyen
            Amharic+Pablo                       am                    Pablo
           Amharic+Pablo2                       am                   Pablo2
             Amharic+Paul                       am                     Paul
            Amharic+Pedro                       am                    Pedro
           Amharic+Quincy                       am                   Quincy
      Amharic+RicishayMax                       am              RicishayMax
     Amharic+RicishayMax2                       am             RicishayMax2
     Amharic+RicishayMax3                       am             RicishayMax3
              Amharic+Rob                       am                      Rob
           Amharic+Robert                       am                   Robert
        Amharic+Robosoft3                       am                Robosoft3
        Amharic+Robosoft4                       am                Robosoft4
        Amharic+Robosoft5                       am                Robosoft5
        Amharic+Robosoft6                       am                Robosoft6
        Amharic+Robosoft7                       am                Robosoft7
        Amharic+Robosoft8                       am                Robosoft8
            Amharic+Steph                       am                    Steph
           Amharic+Steph2                       am                   Steph2
           Amharic+Steph3                       am                   Steph3
            Amharic+Storm                       am                    Storm
           Amharic+Tweaky                       am                   Tweaky
              Amharic+Zac                       am                      Zac
            Amharic+anika                       am                    anika
       Amharic+anikaRobot                       am               anikaRobot
        Amharic+fast_test                       am                fast_test
          Amharic+female2                       am                  female2
          Amharic+female3                       am                  female3
          Amharic+female4                       am                  female4
          Amharic+female5                       am                  female5
   Amharic+female_whisper                       am           female_whisper
          Amharic+grandpa                       am                  grandpa
            Amharic+klatt                       am                    klatt
           Amharic+klatt2                       am                   klatt2
           Amharic+klatt3                       am                   klatt3
           Amharic+klatt4                       am                   klatt4
            Amharic+male2                       am                    male2
            Amharic+male3                       am                    male3
            Amharic+male4                       am                    male4
            Amharic+male5                       am                    male5
            Amharic+male6                       am                    male6
            Amharic+male7                       am                    male7
          Amharic+norbert                       am                  norbert
           Amharic+sandro                       am                   sandro
